Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10045342147350313,0.100890151241963,0.10045342147350313,0.10045342147350311,469033600,0.0,0.0
1980-12-15,0.09564947262726793,0.09564947262726793,0.09521274268627165,0.09521274268627167,175884800,0.0,0.0
1980-12-16,0.08866105316487984,0.08866105316487984,0.08822432905435562,0.08822432905435562,105728000,0.0,0.0
1980-12-17,0.09040793031454086,0.0908446601068393,0.09040793031454086,0.09040793031454086,86441600,0.0,0.0
1980-12-18,0.09302911907434464,0.09346584322440198,0.09302911907434464,0.09302911907434464,73449600,0.0,0.0
1980-12-19,0.09870652109384537,0.09914325089341663,0.09870652109384537,0.09870652109384537,48630400,0.0,0.0
1980-12-22,0.10351055860519409,0.10394806993936877,0.10351055860519409,0.10351055860519409,37363200,0.0,0.0
1980-12-23,0.10787859559059143,0.10831532549389696,0.10787859559059143,0.10787859559059143,46950400,0.0,0.0
1980-12-24,0.11355606466531754,0.11399279462754132,0.11355606466531754,0.11355606466531754,48003200,0.0,0.0
1980-12-26,0.12403828650712966,0.12447501643882311,0.12403828650712966,0.12403828650712967,55574400,0.0,0.0
1980-12-29,0.12578517198562622,0.12622190183890158,0.12578517198562622,0.12578517198562622,93161600,0.0,0.0
1980-12-30,0.1231648201552324,0.1231648201552324,0.12272810190916061,0.12272810190916061,68880000,0.0,0.0
1980-12-31,0.11967097129118626,0.11967097129118626,0.11923424154520036,0.11923424154520035,35750400,0.0,0.0
1981-01-02,0.1205444782972336,0.12141793821799703,0.1205444782972336,0.12054447829723358,21660800,0.0,0.0
1981-01-05,0.11836078996094594,0.11836078996094594,0.11792407184839249,0.11792407184839249,35728000,0.0,0.0
1981-01-06,0.113119310817884,0.113119310817884,0.11268258094787598,0.11268258094787598,45158400,0.0,0.0
1981-01-07,0.10831532549389696,0.10831532549389696,0.10787859559059143,0.10787859559059143,55686400,0.0,0.0
1981-01-08,0.10613167526728273,0.10613167526728273,0.1056949570775032,0.1056949570775032,39827200,0.0,0.0
1981-01-09,0.11137243360280989,0.11180916359282034,0.11137243360280989,0.1113724336028099,21504000,0.0,0.0
1981-01-12,0.11137239041347617,0.11137239041347617,0.11049894243478776,0.11049894243478775,23699200,0.0,0.0
1981-01-13,0.10700514086908249,0.10700514086908249,0.10656841099262238,0.10656841099262238,23049600,0.0,0.0
1981-01-14,0.10700513422489166,0.10744186407423423,0.10700513422489166,0.10700513422489166,14291200,0.0,0.0
1981-01-15,0.10918880254030228,0.11006225082220794,0.10918880254030228,0.10918880254030228,14067200,0.0,0.0
1981-01-16,0.10875204869926847,0.10875204869926847,0.10831531882286072,0.10831531882286072,13395200,0.0,0.0
1981-01-19,0.11486624181270601,0.11530297177083622,0.11486624181270601,0.114866241812706,41574400,0.0,0.0
1981-01-20,0.11180916359282034,0.11180916359282034,0.11137243360280989,0.1113724336028099,30083200,0.0,0.0
1981-01-21,0.11355606466531754,0.11442951292714962,0.11355606466531754,0.11355606466531754,15904000,0.0,0.0
1981-01-22,0.11486624181270601,0.11573970172896644,0.11486624181270601,0.114866241812706,35548800,0.0,0.0
1981-01-23,0.11486621864817126,0.1153029485182282,0.11442948877811432,0.11442948877811432,11222400,0.0,0.0
1981-01-26,0.113119310817884,0.113119310817884,0.11268258094787598,0.11268258094787598,24640000,0.0,0.0
1981-01-27,0.1126825525382032,0.1126825525382032,0.11180910468101501,0.11180910468101501,23699200,0.0,0.0
1981-01-28,0.10875204869926847,0.10875204869926847,0.10831531882286072,0.10831531882286072,28156800,0.0,0.0
1981-01-29,0.10482152479793284,0.10482152479793284,0.10438479483127593,0.10438479483127594,43904000,0.0,0.0
1981-01-30,0.0995799806929879,0.0995799806929879,0.09870652109384537,0.09870652109384537,46188800,0.0,0.0
1981-02-02,0.09346584322440198,0.09346584322440198,0.09302911907434464,0.09302911907434464,23766400,0.0,0.0
1981-02-03,0.09652291238307953,0.09695963642809027,0.09652291238307953,0.09652291238307953,19152000,0.0,0.0
1981-02-04,0.1000167205929756,0.10045343877403871,0.1000167205929756,0.10001672059297562,27865600,0.0,0.0
1981-02-05,0.1000167205929756,0.10089016861771413,0.1000167205929756,0.10001672059297562,7929600,0.0,0.0
1981-02-06,0.10045342147350313,0.100890151241963,0.10045342147350313,0.10045342147350311,13865600,0.0,0.0
1981-02-09,0.09608619673695673,0.09608619673695673,0.09521274268627165,0.09521274268627167,16755200,0.0,0.0
1981-02-10,0.09521274268627165,0.09564947262726793,0.09521274268627165,0.09521274268627167,18345600,0.0,0.0
1981-02-11,0.09259236685264154,0.09259236685264154,0.09215564280748367,0.09215564280748367,13843200,0.0,0.0
1981-02-12,0.09171889541766784,0.09171889541766784,0.09128138422966003,0.09128138422966003,14560000,0.0,0.0
1981-02-13,0.08997123702048532,0.08997123702048532,0.08909778296947479,0.08909778296947479,11155200,0.0,0.0
1981-02-17,0.09128138422966003,0.09171889541766784,0.09128138422966003,0.09128138422966003,12275200,0.0,0.0
1981-02-18,0.09521274268627165,0.09608619673695673,0.09521274268627165,0.09521274268627167,19241600,0.0,0.0
1981-02-19,0.08997123613862242,0.08997123613862242,0.08953450620174408,0.08953450620174408,22310400,0.0,0.0
1981-02-20,0.08516721338260637,0.08516721338260637,0.08473048359155655,0.08473048359155655,24371200,0.0,0.0
1981-02-23,0.0860406830906868,0.08647741299233232,0.0860406830906868,0.0860406830906868,14112000,0.0,0.0
1981-02-24,0.08385705209566091,0.08385705209566091,0.08298359811306,0.08298359811306,16979200,0.0,0.0
1981-02-25,0.08822432905435562,0.08866105316487984,0.08822432905435562,0.08822432905435562,19488000,0.0,0.0
1981-02-26,0.08953450620174408,0.08997123613862242,0.08953450620174408,0.08953450620174408,10841600,0.0,0.0
1981-02-27,0.09259237349033356,0.0934658274745714,0.09259237349033356,0.09259237349033356,14761600,0.0,0.0
1981-03-02,0.09302911907434464,0.09346584322440198,0.09302911907434464,0.09302911907434464,11760000,0.0,0.0
1981-03-03,0.09215564948331594,0.09215564948331594,0.0917189195752144,0.09171891957521439,16172800,0.0,0.0
1981-03-04,0.0912814074218598,0.0912814074218598,0.09084468334913254,0.09084468334913254,13708800,0.0,0.0
1981-03-05,0.0908446601068393,0.0908446601068393,0.09040793031454086,0.09040793031454086,5376000,0.0,0.0
1981-03-06,0.09040796024419336,0.09040796024419336,0.08953450620174408,0.08953450620174408,11603200,0.0,0.0
1981-03-09,0.08298359147090088,0.08298359147090088,0.08254686743021011,0.08254686743021011,15321600,0.0,0.0
1981-03-10,0.07905227029893522,0.07905227029893522,0.07861554622650146,0.07861554622650146,28380800,0.0,0.0
1981-03-11,0.0764319002308703,0.0764319002308703,0.07555844634771347,0.07555844634771347,29859200,0.0,0.0
1981-03-12,0.07861554622650146,0.07905227029893522,0.07861554622650146,0.07861554622650146,59248000,0.0,0.0
1981-03-13,0.07817882387659401,0.07817882387659401,0.07774209976196289,0.07774209976196289,231302400,0.0,0.0
1981-03-16,0.08079995959997177,0.08167341351260728,0.08079995959997177,0.08079995959997177,37228800,0.0,0.0
1981-03-17,0.08473048359155655,0.08560393734235074,0.08473048359155655,0.08473048359155655,43747200,0.0,0.0
1981-03-18,0.08997121453285217,0.09084466836554944,0.08997121453285217,0.08997121453285217,36937600,0.0,0.0
1981-03-19,0.08953450707932632,0.08953450707932632,0.08909778296947479,0.08909778296947479,37811200,0.0,0.0
1981-03-20,0.08997121453285217,0.09084466836554944,0.08997121453285217,0.08997121453285217,14604800,0.0,0.0
1981-03-23,0.09346581995487213,0.0943392738688371,0.09346581995487213,0.09346581995487213,22019200,0.0,0.0
1981-03-24,0.09346584322440198,0.09346584322440198,0.09302911907434464,0.09302911907434464,28156800,0.0,0.0
1981-03-25,0.09215562521074051,0.09215562521074051,0.09128138422966003,0.09128138422966003,7056000,0.0,0.0
1981-03-26,0.08997123613862242,0.08997123613862242,0.08953450620174408,0.08953450620174408,12275200,0.0,0.0
1981-03-27,0.08691413035961332,0.08691413035961332,0.08647740632295609,0.08647740632295609,12252800,0.0,0.0
1981-03-30,0.08647740632295609,0.08735086022757703,0.08647740632295609,0.08647740632295609,9900800,0.0,0.0
1981-03-31,0.08647739878574866,0.08647739878574866,0.08560394495725632,0.08560394495725632,15993600,0.0,0.0
1981-04-01,0.08516721338260637,0.08516721338260637,0.08473048359155655,0.08473048359155655,34070400,0.0,0.0
1981-04-02,0.09215564280748367,0.09259236685264154,0.09215564280748367,0.09215564280748367,31404800,0.0,0.0
1981-04-03,0.09259237349033356,0.093029103398106,0.09259237349033356,0.09259237349033356,16486400,0.0,0.0
